Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578238851.8117554,20.85,997.98,0.0,25.03,997.03,0.0,23.26,997.89,26.67
1578239001.7640672,20.87,998.0,0.0,25.03,997.03,0.0,23.32,997.9,25.0
1578239151.7819548,20.88,998.01,0.0,25.05,997.07,0.0,23.37,997.92,25.83
1578239301.735883,20.89,998.02,0.0,25.05,997.07,0.0,23.4,997.92,25.0
1578239451.707958,20.9,998.01,0.0,25.06,997.09,0.0,23.43,997.89,25.0
1578239601.6928883,20.91,998.03,0.0,25.06,997.09,0.0,23.46,997.91,25.0
1578239751.6764736,20.92,998.02,0.0,25.08,997.12,0.0,23.48,997.91,25.0
1578239901.6629457,20.93,998.03,0.0,25.09,997.11,0.0,23.51,997.91,24.17
1578240051.6337419,20.95,998.07,0.0,25.09,997.14,0.0,23.54,997.92,25.0
1578240201.6186433,20.95,998.14,0.0,25.09,997.14,0.0,23.56,997.93,25.0
1578240351.6356573,20.97,998.19,0.0,25.11,997.24,0.0,23.56,997.98,24.17
1578240501.5919058,20.98,998.24,0.0,25.12,997.27,0.0,23.58,998.04,25.0
1578240651.5611217,20.99,998.25,0.0,25.13,997.3,0.0,23.61,998.09,25.0
1578240801.553848,20.99,998.3,0.0,25.14,997.33,0.0,23.63,998.1,25.0
1578240951.5337331,21.0,998.31,0.0,25.14,997.35,0.0,23.66,998.13,25.0
1578241101.5037203,21.01,998.3,0.0,25.15,997.35,0.0,23.66,998.16,25.0
1578241251.5179105,21.01,998.26,0.0,25.16,997.33,0.0,23.66,998.17,25.0
1578241401.474177,21.02,998.28,0.0,25.16,997.33,0.0,23.65,998.14,25.0
1578241551.4594758,21.03,998.25,0.0,25.17,997.31,0.0,23.66,998.12,25.0
1578241701.4310753,21.05,998.3,0.0,25.17,997.31,0.0,23.66,998.1,25.0
1578241851.4166949,21.06,998.3,0.0,25.19,997.36,0.0,23.67,998.13,25.0
1578242001.4019856,21.07,998.33,0.0,25.21,997.39,0.0,23.67,998.14,25.0
1578242151.3742168,21.07,998.35,0.0,25.22,997.39,0.0,23.7,998.15,25.0
1578242301.3595328,21.08,998.38,0.0,25.22,997.42,0.0,23.73,998.16,24.17
1578242451.3433459,21.09,998.38,0.0,25.23,997.43,0.0,23.76,998.2,24.17
1578242601.3295171,21.1,998.37,0.0,25.25,997.43,0.0,23.79,998.2,25.0
1578242751.29986,21.11,998.33,0.0,25.26,997.41,0.0,23.8,998.19,25.0
1578242901.2855575,21.12,998.35,0.0,25.26,997.42,0.0,23.83,998.19,25.0
1578243051.26877,21.13,998.39,0.0,25.26,997.42,0.0,23.85,998.19,25.0
1578243201.2562346,21.14,998.39,0.0,25.29,997.47,0.0,23.87,998.23,24.17
1578243351.290172,21.15,998.39,0.0,25.29,997.47,0.0,23.87,998.25,25.0
1578243501.2126908,21.16,998.4,0.0,25.3,997.48,0.0,23.87,998.25,25.0
1578243651.1985593,21.17,998.42,0.0,25.31,997.51,0.0,23.88,998.25,24.17
1578243801.1847749,21.18,998.46,0.0,25.31,997.54,0.0,23.88,998.28,25.0
1578243951.1706276,21.18,998.46,0.0,25.31,997.54,0.0,23.91,998.31,24.17
1578244101.1398215,21.19,998.44,0.0,25.32,997.54,0.0,23.91,998.28,25.0
1578244251.1569083,21.19,998.44,0.0,25.34,997.52,0.0,23.92,998.27,24.17
1578244401.1286564,21.19,998.43,0.0,25.35,997.52,0.0,23.94,998.26,24.17
1578244551.096943,21.2,998.45,0.0,25.35,997.56,0.0,23.93,998.32,24.17
1578244701.0835574,21.21,998.5,0.0,25.36,997.61,0.0,23.93,998.34,25.0
1578244851.064409,21.21,998.57,0.0,25.36,997.66,0.0,23.93,998.34,25.0
1578245001.039258,21.21,998.58,0.0,25.36,997.66,0.0,23.99,998.41,25.0
1578245151.0268695,21.22,998.55,0.0,25.36,997.66,0.0,23.99,998.42,24.17
1578245301.0037935,21.22,998.56,0.0,25.36,997.66,0.0,24.01,998.41,24.17
1578245451.011197,21.22,998.59,0.0,25.36,997.7,0.0,23.98,998.41,24.17
1578245600.9647732,21.21,998.6,0.0,25.36,997.7,0.0,24.0,998.46,24.17
1578245750.9342248,21.21,998.61,0.0,25.36,997.69,0.0,24.01,998.45,25.0
1578245900.9203444,21.21,998.64,0.0,25.36,997.74,0.0,24.02,998.45,25.0
1578246050.906497,21.21,998.65,0.0,25.35,997.73,0.0,24.02,998.46,24.17
1578246200.8932562,21.21,998.67,0.0,25.36,997.74,0.0,24.04,998.47,24.17
1578246350.8785324,21.19,998.71,0.0,25.36,997.74,0.0,24.06,998.5,24.17
1578246500.866107,21.2,998.73,0.0,25.36,997.76,0.0,24.05,998.51,24.17
1578246650.8327081,21.2,998.73,0.0,25.35,997.8,0.0,24.02,998.54,23.33
1578246800.8120313,21.2,998.75,0.0,25.34,997.84,0.0,24.04,998.55,24.17
1578246950.8040216,21.19,998.78,0.0,25.34,997.86,0.0,24.05,998.57,24.17
1578247100.7756402,21.19,998.8,0.0,25.34,997.86,0.0,24.05,998.6,23.33
1578247250.7611427,21.18,998.81,0.0,25.34,997.89,0.0,24.04,998.61,24.17
1578247400.7632813,21.19,998.79,0.0,25.32,997.87,0.0,23.99,998.61,24.17
1578247550.7345245,21.18,998.82,0.0,25.32,997.89,0.0,23.96,998.63,24.17
1578247700.7180104,21.17,998.82,0.0,25.31,997.91,0.0,23.95,998.64,24.17
1578247850.719695,21.16,998.84,0.0,25.3,997.92,0.0,23.93,998.67,25.0
1578248000.6884773,21.16,998.85,0.0,25.3,997.92,0.0,23.92,998.66,24.17
1578248150.6621819,21.15,998.87,0.0,25.28,997.94,22.5,23.9,998.67,24.17
1578248300.678457,21.14,998.89,0.0,25.26,997.98,55.0,23.9,998.76,24.17
1578248450.6278517,21.13,998.9,0.0,25.25,998.0,15.0,23.9,998.76,24.17
1578248600.6023993,21.13,998.88,0.0,25.27,997.98,20.0,23.86,998.78,25.0
1578248750.5884967,21.13,998.86,0.0,25.28,997.95,19.17,23.87,998.74,24.17
1578249050.5477417,21.11,998.9,0.0,25.31,998.0,18.33,23.83,998.74,24.17
1578249200.5298316,21.11,998.93,0.0,25.3,998.04,17.5,23.81,998.76,25.0
1578249350.515794,21.1,998.94,0.0,25.31,998.05,19.17,23.8,998.79,25.0
1578249500.485518,21.09,998.97,0.0,25.31,998.1,19.17,23.81,998.8,25.0
1578249650.4703703,21.08,999.0,0.0,25.31,998.11,19.17,23.83,998.84,25.0
1578249800.4433267,21.07,999.0,0.0,25.31,998.11,19.17,23.8,998.86,24.17
1578249950.4262557,21.06,998.98,0.0,25.34,998.12,19.17,23.8,998.88,25.0
1578250100.4126208,21.05,998.97,0.0,25.3,998.1,19.17,23.8,998.87,24.17
1578250250.3971748,21.04,998.98,0.0,25.3,998.1,19.17,23.78,998.85,24.17
1578250400.3857088,21.03,999.05,0.0,25.28,998.17,20.0,23.8,998.86,25.0
1578250550.3539984,21.01,999.11,0.0,25.25,998.21,20.0,23.82,998.9,25.0
1578250700.339399,21.01,999.13,0.0,25.22,998.24,19.17,23.82,998.95,24.17
1578250850.3731873,20.99,999.13,0.0,25.22,998.24,19.17,23.8,998.95,25.0
1578251000.3119218,20.98,999.14,0.0,25.24,998.21,20.0,23.8,998.95,25.0
1578251150.2817612,20.97,999.18,0.0,25.2,998.26,19.17,23.78,998.96,25.0
1578251300.2663448,20.96,999.21,0.0,25.19,998.3,19.17,23.76,999.0,24.17
1578251450.2524607,20.95,999.25,0.0,25.19,998.3,19.17,23.78,999.02,25.0
1578251600.2393506,20.93,999.3,0.0,25.16,998.34,20.0,23.79,999.08,25.0
1578251750.2085297,20.92,999.33,0.0,25.12,998.41,19.17,23.82,999.13,24.17
1578251900.1957386,20.91,999.35,0.0,24.96,998.48,20.0,23.81,999.14,25.0
1578252050.1756904,20.9,999.37,0.0,24.96,998.48,20.0,23.76,999.18,24.17
1578252200.1512587,20.88,999.38,0.0,24.9,998.49,19.17,23.76,999.17,25.0
1578252350.13574,20.88,999.39,0.0,24.81,998.55,20.0,23.75,999.21,25.0
1578252500.122543,20.87,999.43,0.0,24.79,998.57,20.0,23.76,999.24,25.0
1578252650.1092336,20.86,999.4,0.0,24.79,998.57,20.0,23.76,999.26,25.0
1578252800.0790548,20.85,999.43,0.0,24.76,998.56,19.17,23.74,999.26,25.0
1578252950.0628576,20.84,999.43,0.0,24.81,998.57,20.0,23.7,999.26,24.17
1578253100.0488877,20.83,999.41,0.0,24.81,998.57,20.0,23.68,999.3,24.17
1578253250.0360353,20.82,999.41,0.0,24.82,998.54,19.17,23.64,999.29,24.17
1578253400.0223627,20.81,999.4,0.0,24.8,998.52,20.0,23.55,999.29,24.17
1578253550.038578,20.8,999.39,0.0,24.75,998.51,19.17,23.38,999.26,23.33
1578253699.9923544,20.79,999.41,0.0,24.7,998.52,20.0,23.42,999.26,0.83
1578253849.9936347,20.78,999.38,0.0,24.66,998.48,0.0,23.45,999.23,0.83
1578253999.9401245,20.78,999.35,0.0,24.66,998.45,0.0,23.45,999.23,0.83
1578254149.9509265,20.77,999.37,0.0,24.64,998.46,0.0,23.47,999.22,0.83
1578254299.9077332,20.76,999.36,0.0,24.64,998.46,0.0,23.49,999.21,0.83
1578254449.8894062,20.75,999.35,0.0,24.59,998.46,0.0,23.49,999.2,0.83
1578254599.8696017,20.75,999.38,0.0,24.59,998.46,0.0,23.49,999.2,0.83
1578254749.8522513,20.75,999.37,0.0,24.53,998.45,0.0,23.49,999.23,0.83
1578254899.8622267,20.74,999.31,0.0,24.48,998.42,0.0,23.49,999.22,0.83
1578255049.8296387,20.73,999.34,0.0,24.45,998.43,0.0,23.49,999.17,1.67
1578255199.8006194,20.72,999.31,0.0,24.41,998.42,0.0,23.49,999.17,1.67
1578255949.7034936,20.68,999.31,0.0,24.33,998.42,0.0,23.46,999.18,0.83
1578256099.6691658,20.67,999.34,0.0,24.34,998.45,0.0,23.43,999.19,0.83
1578256249.6547647,20.66,999.32,0.0,24.34,998.45,0.0,23.42,999.23,0.83
1578256399.671983,20.65,999.3,0.0,24.36,998.41,0.0,23.4,999.21,1.67
1578256549.6266096,20.64,999.32,0.0,24.36,998.41,0.0,23.39,999.18,0.83
1578256699.627585,20.62,999.37,0.0,24.35,998.47,0.0,23.38,999.21,0.83
1578256849.582091,20.61,999.41,0.0,24.35,998.47,0.0,23.35,999.24,0.83
1578256999.569665,20.59,999.42,0.0,24.35,998.54,0.0,23.34,999.28,1.67
1578257149.5538616,20.58,999.42,0.0,24.35,998.54,0.0,23.33,999.31,1.67
1578257299.5240402,20.56,999.45,0.0,24.35,998.54,0.0,23.33,999.3,0.83
1578257449.5100908,20.55,999.54,0.0,24.36,998.61,0.0,23.32,999.33,0.83
1578257599.4949386,20.53,999.53,0.0,24.36,998.61,0.0,23.29,999.38,0.83
1578257749.5292459,20.51,999.58,0.0,24.36,998.61,0.0,23.24,999.42,0.83
1578257899.451932,20.49,999.58,0.0,24.36,998.67,0.0,23.24,999.42,0.83
1578258049.4684007,20.47,999.57,0.0,24.36,998.65,0.0,23.16,999.41,0.83
1578258499.41654,20.41,999.6,0.0,24.36,998.7,0.0,23.09,999.46,0.83
1578258649.365187,20.38,999.64,0.0,24.36,998.74,0.0,23.06,999.5,0.83
1578258799.335363,20.37,999.69,0.0,24.37,998.79,0.0,23.02,999.55,0.83
1578258949.3216622,20.35,999.71,0.0,24.37,998.79,0.0,23.02,999.55,0.83
1578259099.3370173,20.33,999.74,0.0,24.37,998.84,0.0,22.99,999.61,0.83
1578259249.288416,20.31,999.76,0.0,24.38,998.86,0.0,22.97,999.63,0.83
1578259399.2633042,20.28,999.72,0.0,24.39,998.82,0.0,22.94,999.63,0.83
1578259549.248721,20.26,999.74,0.0,24.39,998.82,0.0,22.92,999.61,0.83
1578259699.2359025,20.24,999.78,0.0,24.39,998.84,0.0,22.91,999.64,0.83
1578259849.2051306,20.22,999.86,0.0,24.4,998.87,0.0,22.89,999.68,0.83
1578259999.1900032,20.2,999.92,0.0,24.4,999.0,0.0,22.86,999.76,0.83
1578260149.1751533,20.18,999.94,0.0,24.4,999.0,0.0,22.82,999.83,0.83
1578260299.146755,20.16,999.95,0.0,24.39,999.02,0.0,22.79,999.86,0.83
1578260449.1320279,20.14,999.92,0.0,24.39,998.99,0.0,22.77,999.86,0.83
1578260599.1640189,20.12,999.89,0.0,24.38,998.95,0.0,22.72,999.81,0.83
1578260749.103882,20.09,999.82,0.0,24.37,998.91,0.0,22.72,999.81,0.83
1578260899.0735562,20.06,999.8,0.0,24.36,998.89,0.0,22.72,999.74,0.83
